CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
87,CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,Brusque,SC,5,63,126,centro universitario de brusque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Jundiaí,SP,3,99,48,faculdade de medicina de jundiai,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
94,ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ,ESEFJ,Jundiaí,SP,3,6,6,escola superior de educacao fisica de jundiai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Sobral,CE,2,233,175,universidade estadual vale do acarau,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0
99,FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,Conselheiro Lafaiete,MG,5,11,18,faculdade de direito de conselheiro lafaiete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,1,773,103,universidade federal de sao joao del rei,260,0,0,0,0,1,0,0,0,4,0,1,0,0,0,17,0,2,164,6,0,15,0,0,0,0,0,0,2,0,48,0,0,0,0
109,FACULDADES INTEGRADAS RUI BARBOSA,FIRB,Andradina,SP,5,6,14,faculdades integradas rui barbosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,UNIVERSIDADE DE ARARAQUARA,UNIARA,Araraquara,SP,5,199,147,universidade de araraquara,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
125,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Araras,SP,5,14,30,centro universitario de araras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,Santa Rita do Sapucaí,MG,5,25,37,instituto nacional de telecomunicacoes,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,14,8,0,7,0,4,0,0,0,0,0,0,7,0,0,0,0
135,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,5,86,92,claretiano  centro universitario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Bauru,SP,5,104,82,centro universitario sagrado coracao,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
